Date,BP.L,SSE.L,CNA.L,NG.L
2018-09-18,547.9108276367188,1118.813720703125,149.0111083984375,792.4752197265625
2018-09-19,551.1978759765625,1113.83203125,147.61427307128906,771.1512451171875
2018-09-20,553.289306640625,1124.7911376953125,149.06100463867188,779.1227416992188
2018-09-21,564.7435302734375,1124.7911376953125,149.8591766357422,784.503662109375
2018-09-24,567.831298828125,1125.787353515625,147.21517944335938,772.64599609375
2018-09-25,584.3651733398438,1121.3043212890625,147.01564025878906,761.9839477539062
2018-09-26,583.6680297851562,1126.783935546875,148.9113311767578,762.0835571289062
2018-09-27,590.9390869140625,1139.7352294921875,153.15167236328125,777.2294921875
2018-09-28,586.9548950195312,1141.72802734375,154.5485076904297,788.589111328125
2018-10-01,592.9309692382812,1123.2967529296875,152.25372314453125,784.6032104492188
2018-10-02,594.624267578125,1140.731689453125,152.1539764404297,788.7883911132812
2018-10-03,595.520751953125,1142.7242431640625,152.35350036621094,795.9628295898438
2018-10-04,595.9190673828125,1112.3380126953125,150.15850830078125,774.240234375
2018-10-05,586.1580810546875,1114.8284912109375,150.15850830078125,783.6068725585938
2018-10-08,574.305419921875,1121.3043212890625,151.65512084960938,783.7066040039062
2018-10-09,576.6957397460938,1129.772705078125,151.60520935058594,782.3114013671875
2018-10-10,566.934814453125,1132.761474609375,152.30361938476562,804.9307861328125
2018-10-11,552.193603515625,1119.81005859375,146.80084228515625,796.162109375
2018-10-12,555.779541015625,1111.3419189453125,145.50347900390625,784.6032104492188
2018-10-15,557.1738891601562,1132.761474609375,145.40367126464844,794.8667602539062
2018-10-16,557.87109375,1134.255615234375,145.95257568359375,813.1016845703125
2018-10-17,556.0783081054688,1128.2783203125,145.9026641845703,811.40771484375
2018-10-18,552.2932739257812,1124.7911376953125,146.90061950683594,816.190673828125
2018-10-19,555.2815551757812,1145.7130126953125,148.89657592773438,824.8597412109375
2018-10-22,548.6080932617188,1134.255615234375,146.95053100585938,826.3544311523438
2018-10-23,531.0782470703125,1125.28955078125,147.74893188476562,827.6498413085938
2018-10-24,530.7794189453125,1132.26318359375,148.74685668945312,836.1195678710938
2018-10-25,533.368896484375,1137.2447509765625,148.9464569091797,837.6143798828125
2018-10-26,525.998291015625,1126.2855224609375,147.34970092773438,829.2442016601562
2018-10-29,533.0701293945312,1148.2037353515625,147.4495391845703,840.9026489257812
2018-10-30,543.8272094726562,1146.2110595703125,149.2957763671875,846.283447265625
2018-10-31,565.04248046875,1137.2447509765625,146.90061950683594,826.2549438476562
2018-11-01,539.3451538085938,1158.6644287109375,146.00247192382812,826.6535034179688
2018-11-02,531.1778564453125,1150.1962890625,144.8048858642578,820.8739624023438
2018-11-05,539.9426879882812,1153.18505859375,147.54930114746094,832.8313598632812
2018-11-06,537.4525756835938,1158.6644287109375,148.99635314941406,831.9346313476562
2018-11-07,542.1337890625,1180.58251953125,152.78863525390625,835.5217895507812
2018-11-08,526.9724731445312,1178.0919189453125,153.7366943359375,837.0164794921875
2018-11-09,521.8921508789062,1148.2037353515625,153.98619079589844,852.6607666015625
2018-11-12,526.075927734375,1141.72802734375,155.28353881835938,857.8421630859375
2018-11-13,511.5318908691406,1127.281982421875,153.78662109375,848.6749267578125
2018-11-14,510.1372985839844,1186.5599365234375,151.84054565429688,855.9488525390625
2018-11-15,524.9801025390625,1124.7911376953125,143.75704956054688,837.115966796875
2018-11-16,522.888427734375,1113.83203125,144.95462036132812,820.0768432617188
2018-11-19,520.6967163085938,1102.375,141.9108123779297,822.9664306640625
2018-11-20,517.0109252929688,1118.3154296875,145.30389404296875,843.7922973632812
2018-11-21,528.6658935546875,1125.28955078125,145.45359802246094,850.2692260742188
2018-11-22,523.1871948242188,1113.83203125,132.0309295654297,823.208740234375
2018-11-23,510.63531494140625,1113.83203125,128.58798217773438,816.5313720703125
2018-11-26,522.7887573242188,1115.8245849609375,132.52993774414062,823.5077514648438
2018-11-27,522.2906494140625,1122.3004150390625,134.42604064941406,837.6597900390625
2018-11-28,521.5932006835938,1109.348876953125,133.7274932861328,834.3709106445312
2018-11-29,520.0989990234375,1094.9029541015625,135.8730926513672,831.1818237304688
2018-11-30,518.007080078125,1091.4161376953125,137.4698486328125,830.0853271484375
2018-12-03,529.9610595703125,1078.96240234375,138.2682342529297,826.5972900390625
2018-12-04,534.9418334960938,1077.9664306640625,136.2722930908203,827.7932739257812
2018-12-05,524.9801025390625,1095.899169921875,136.47190856933594,822.71044921875
2018-12-06,501.37109375,1068.0040283203125,135.72341918945312,817.32861328125
2018-12-07,512.8272094726562,1084.9404296875,139.31610107421875,826.39794921875
2018-12-10,507.14886474609375,1046.0855712890625,132.9291229248047,810.9503784179688
2018-12-11,514.8192749023438,1057.5428466796875,133.7274932861328,824.006103515625
2018-12-12,514.5205688476562,1074.977783203125,137.02078247070312,836.065185546875
2018-12-13,512.2293701171875,1093.906982421875,137.91891479492188,848.0247802734375
2018-12-14,510.73504638671875,1085.4381103515625,137.71932983398438,840.6497192382812
2018-12-17,506.6507568359375,1051.0670166015625,135.27435302734375,832.4773559570312
2018-12-18,495.3940734863281,1037.6175537109375,132.72950744628906,756.1361694335938
2018-12-19,500.5740051269531,1055.55029296875,133.97698974609375,774.7730712890625
2018-12-20,490.5128173828125,1070.99267578125,135.52381896972656,793.3101806640625
2018-12-21,493.3021240234375,1076.9700927734375,135.72341918945312,783.7425537109375
2018-12-24,496.98797607421875,1076.471923828125,134.5757293701172,775.869140625
2018-12-27,483.9878845214844,1028.65087890625,129.73561096191406,746.1700439453125
2018-12-28,500.7732849121094,1056.5467529296875,134.1266632080078,765.4047241210938
2018-12-31,494.0491943359375,1077.4681396484375,134.62567138671875,761.6177368164062
2019-01-02,505.3555908203125,1065.0146484375,135.72341918945312,770.98583984375
2019-01-03,506.7503662109375,1060.033203125,137.02078247070312,771.5838012695312
2019-01-04,518.803955078125,1066.0111083984375,137.02078247070312,780.6530151367188
2019-01-07,518.803955078125,1051.0670166015625,130.98306274414062,776.2678833007812
2019-01-08,517.807861328125,1082.44970703125,130.98306274414062,781.4503173828125
2019-01-09,520.8959350585938,1119.81005859375,130.43418884277344,787.131103515625
2019-01-10,524.9801025390625,1147.705322265625,132.52993774414062,798.69189453125
2019-01-11,519.2025146484375,1150.1962890625,134.92503356933594,798.79150390625
2019-01-14,518.803955078125,1144.21875,133.42811584472656,783.8423461914062
2019-01-15,520.6967163085938,1150.6942138671875,134.42604064941406,795.0043334960938
2019-01-16,514.0224609375,1160.158935546875,134.87513732910156,797.6953125
2019-01-17,509.0415344238281,1122.0843505859375,134.47596740722656,792.4132690429688
2019-01-18,521.2944946289062,1129.558837890625,136.87106323242188,801.9806518554688
2019-01-21,520.0989990234375,1122.0843505859375,133.87716674804688,794.5062255859375
2019-01-22,510.63531494140625,1119.0953369140625,133.82730102539062,796.3997192382812
2019-01-23,506.5511779785156,1121.5865478515625,130.8832550048828,801.3827514648438
2019-01-24,509.9380798339844,1125.57275390625,134.1266632080078,800.984130859375
2019-01-25,504.9572448730469,1125.57275390625,134.7753448486328,793.7088012695312
2019-01-28,493.00323486328125,1124.0780029296875,134.87513732910156,786.234130859375
2019-01-29,501.0721740722656,1147.994140625,137.7692413330078,804.4722900390625
2019-01-30,509.4399108886719,1153.973388671875,137.17047119140625,820.8167724609375
2019-01-31,518.1067504882812,1165.931884765625,136.12258911132812,822.4115600585938
2019-02-01,519.5012817382812,1176.3951416015625,135.4240264892578,830.7831420898438
2019-02-04,518.1067504882812,1177.3917236328125,136.52178955078125,827.8928833007812
2019-02-05,544.9036865234375,1192.3394775390625,140.26417541503906,844.436767578125
2019-02-06,551.8765869140625,1180.3812255859375,137.91891479492188,841.04833984375
2019-02-07,545.202392578125,1169.4195556640625,138.7672119140625,842.0449829101562
2019-02-08,541.9151000976562,1166.928466796875,135.92300415039062,839.3541259765625
2019-02-11,542.2138061523438,1169.9178466796875,136.47190856933594,841.1478881835938
2019-02-12,543.1106567382812,1187.8553466796875,138.06863403320312,842.4435424804688
2019-02-13,549.0873413085938,1189.848388671875,137.96884155273438,839.951904296875
2019-02-14,538.9027709960938,1193.336181640625,139.1663818359375,846.72900390625
2019-02-15,541.4930419921875,1194.33251953125,137.27024841308594,839.3541259765625
2019-02-18,536.0132446289062,1197.820556640625,137.17047119140625,839.45361328125
2019-02-19,534.8178100585938,1196.823974609375,138.5177001953125,842.4435424804688
2019-02-20,537.408203125,1186.3604736328125,136.92095947265625,844.8353881835938
2019-02-21,536.9100952148438,1185.3641357421875,120.90361785888672,852.1107177734375
2019-02-22,535.1166381835938,1177.889892578125,122.30076599121094,858.6885375976562
2019-02-25,535.0169677734375,1180.3812255859375,124.8455810546875,854.9012451171875
2019-02-26,531.0316772460938,1184.86572265625,125.4942626953125,855.89794921875
2019-02-27,532.028076171875,1194.8309326171875,126.3924331665039,849.8185424804688
2019-02-28,532.426513671875,1184.367431640625,124.24681091308594,845.0347900390625
2019-03-01,531.0316772460938,1199.813232421875,123.19892883300781,846.4298706054688
2019-03-04,534.120361328125,1197.820556640625,123.24884033203125,845.7323608398438
2019-03-05,536.3121948242188,1203.799560546875,122.89955139160156,847.1276245117188
2019-03-06,536.0132446289062,1199.813232421875,121.50239562988281,843.4401245117188
2019-03-07,538.7032470703125,1207.7857666015625,122.45046997070312,864.1697998046875
2019-03-08,532.3269653320312,1197.3223876953125,121.10321044921875,870.4486083984375
2019-03-11,533.6221923828125,1200.8099365234375,121.25289916992188,872.2424926757812
2019-03-12,534.6184692382812,1198.817138671875,121.65208435058594,878.421630859375
2019-03-13,545.777099609375,1196.32568359375,122.00138092041016,870.8472900390625
2019-03-14,547.869384765625,1196.823974609375,120.50442504882812,870.5481567382812
2019-03-15,542.4893188476562,1203.301513671875,120.40462493896484,873.3387451171875
2019-03-18,551.9540405273438,1220.7406005859375,121.35269927978516,882.4080200195312
2019-03-19,556.4375,1223.23193359375,122.699951171875,880.6142578125
2019-03-20,554.1461791992188,1216.7545166015625,120.45452880859375,881.6107788085938
2019-03-21,561.7180786132812,1228.21435546875,119.90564727783203,883.4046630859375
2019-03-22,550.0612182617188,1218.2493896484375,119.05738830566406,883.3049926757812
2019-03-25,546.17578125,1213.2667236328125,117.80992126464844,877.0261840820312
2019-03-26,548.5669555664062,1217.7510986328125,117.90971374511719,886.1952514648438
2019-03-27,543.7844848632812,1215.7578125,116.06348419189453,881.212158203125
2019-03-28,548.5669555664062,1198.817138671875,114.66632080078125,852.2105102539062
2019-03-29,556.4375,1182.872802734375,113.96774291992188,847.9248046875
2019-04-01,557.1350708007812,1150.98388671875,112.91988372802734,839.951904296875
2019-04-02,561.7180786132812,1173.904052734375,114.41683197021484,843.0415649414062
2019-04-03,558.23095703125,1161.94580078125,113.8679428100586,839.6529541015625
2019-04-04,557.5333862304688,1164.4368896484375,111.82212829589844,837.2611083984375
2019-04-05,566.5003662109375,1151.98046875,110.4748764038086,831.9789428710938
2019-04-08,576.06494140625,1149.4891357421875,109.97587585449219,829.7864379882812
2019-04-09,571.8802490234375,1142.015380859375,109.32720184326172,829.1885986328125
2019-04-10,574.0723876953125,1143.0118408203125,110.724365234375,831.1818237304688
2019-04-11,570.4854736328125,1141.018798828125,109.92596435546875,822.71044921875
2019-04-12,568.492919921875,1130.056884765625,109.0278091430664,814.5381469726562
2019-04-15,567.7954711914062,1133.046630859375,108.8282241821289,817.6276245117188
2019-04-16,566.0021362304688,1131.0533447265625,106.78238677978516,816.3320922851562
2019-04-17,569.8878784179688,1123.0814208984375,106.48299407958984,816.9299926757812
2019-04-18,565.6036376953125,1120.0919189453125,105.53494262695312,815.9334106445312
2019-04-23,580.348876953125,1125.07421875,107.2813720703125,816.3320922851562
2019-04-24,568.0944213867188,1131.5516357421875,105.88421630859375,826.1986083984375
2019-04-25,567.19775390625,1136.534423828125,103.93817901611328,828.39111328125
2019-04-26,554.0462646484375,1147.994140625,106.13369750976562,833.6732788085938
2019-04-29,550.4597778320312,1140.5203857421875,105.5848388671875,831.1818237304688
2019-04-30,556.9356689453125,1140.5203857421875,106.03392791748047,833.2745971679688
2019-05-01,549.9615478515625,1139.5238037109375,104.83635711669922,824.40478515625
2019-05-02,545.4781494140625,1126.5689697265625,104.2874755859375,820.418212890625
2019-05-03,546.0760498046875,1141.018798828125,105.18566131591797,826.29833984375
2019-05-07,531.2310791015625,1151.98046875,105.88421630859375,831.6799926757812
2019-05-08,536.3121948242188,1117.600341796875,104.78646087646484,821.2155151367188
2019-05-09,523.6378173828125,1112.119384765625,94.08368682861328,822.2122192382812
2019-05-10,522.3424682617188,1108.6317138671875,92.48565673828125,832.6766357421875
2019-05-13,524.4351806640625,1111.1229248046875,95.28221130371094,846.72900390625
2019-05-14,532.7056884765625,1107.13671875,94.86272430419922,847.4266967773438
2019-05-15,537.4887084960938,1079.2340087890625,94.90267944335938,839.951904296875
2019-05-16,547.752197265625,1059.303955078125,93.86397552490234,811.7476806640625
2019-05-17,554.0298461914062,1037.38037109375,93.36458587646484,815.3353881835938
2019-05-20,555.2254638671875,1035.885498046875,93.42450714111328,815.0363159179688
2019-05-21,558.115234375,1041.3665771484375,94.58306884765625,812.4453125
2019-05-22,558.513916015625,1004.4951171875,93.68418884277344,810.8505859375
2019-05-23,542.1719360351562,1008.9794311523438,93.48442840576172,803.2764892578125
2019-05-24,542.5704345703125,1034.3907470703125,92.70538330078125,813.8405151367188
2019-05-28,543.5670166015625,1037.38037109375,93.54436492919922,809.355712890625
2019-05-29,539.3818969726562,1038.8751220703125,93.78406524658203,813.0432739257812
2019-05-30,539.3818969726562,1045.3525390625,93.8839340209961,775.6441650390625
2019-05-31,538.1861572265625,1074.75,93.40453338623047,790.3992309570312
2019-06-03,542.0723266601562,1078.23779296875,94.00379943847656,791.7951049804688
2019-06-04,542.6702880859375,1084.2166748046875,93.92388916015625,780.6289672851562
2019-06-05,535.6950073242188,1092.687255859375,94.34336853027344,798.2755126953125
2019-06-06,541.5740356445312,1104.6455078125,95.04251861572266,812.8311767578125
2019-06-07,549.8447875976562,1116.60400390625,95.74164581298828,820.408203125
2019-06-10,553.5314331054688,1116.10546875,95.52191925048828,814.4263305664062
2019-06-11,555.0263061523438,1118.098876953125,93.76408386230469,813.6288452148438
2019-06-12,538.8837280273438,1120.0919189453125,91.58677673339844,820.3084716796875
2019-06-13,537.0899658203125,1122.0843505859375,91.0274658203125,816.021484375
2019-06-14,536.9905395507812,1118.098876953125,91.406982421875,830.8764038085938
2019-06-17,534.1007080078125,1101.6561279296875,89.16975402832031,826.6890869140625
2019-06-18,543.965576171875,1122.0843505859375,91.4269790649414,838.3536987304688
2019-06-19,539.6807861328125,1112.617919921875,90.70785522460938,831.6738891601562
2019-06-20,547.3536376953125,1109.6279296875,87.97124481201172,839.9487915039062
